Lan;Fodda;Antal
01 Stockholms län;Utrikes född;624609
03 Uppsala län;Utrikes född;73482
04 Södermanlands län;Utrikes född;61443
05 Östergötlands län;Utrikes född;78221
06 Jönköpings län;Utrikes född;67504
07 Kronobergs län;Utrikes född;41720
08 Kalmar län;Utrikes född;35782
09 Gotlands län;Utrikes född;4837
10 Blekinge län;Utrikes född;24219
12 Skåne län;Utrikes född;316653
13 Hallands län;Utrikes född;48900
14 Västra Götalands län;Utrikes född;341025
17 Värmlands län;Utrikes född;38815
18 Örebro län;Utrikes född;51929
19 Västmanlands län;Utrikes född;59237
20 Dalarnas län;Utrikes född;37557
21 Gävleborgs län;Utrikes född;39774
22 Västernorrlands län;Utrikes född;27691
23 Jämtlands län;Utrikes född;13488
24 Västerbottens län;Utrikes född;30100
25 Norrbottens län;Utrikes född;29745